name of the body,position x,position y,position z
sun,7.165e-05,-0.00202117,7.2695e-06
jupiter,4.91202,0.590792,-0.112453
saturn,7.65118,5.19661,-0.394653
uranus,13.5424,-14.567,-0.229701
neptune,15.9727,-25.5495,0.15801
sun,7.79212e-05,-0.00205409,7.26493e-06
jupiter,4.90821,0.619482,-0.112487
saturn,7.63862,5.21344,-0.394446
uranus,13.5528,-14.5579,-0.229802
neptune,15.9823,-25.5433,0.157661
sun,8.43564e-05,-0.00208699,7.25629e-06
jupiter,4.90425,0.648152,-0.112517
saturn,7.62602,5.23024,-0.394237
uranus,13.5632,-14.5487,-0.229903
neptune,15.992,-25.5371,0.157312
sun,9.09554e-05,-0.00211986,7.24358e-06
jupiter,4.90012,0.676801,-0.112543
saturn,7.61339,5.24701,-0.394027
uranus,13.5736,-14.5395,-0.230004
neptune,16.0016,-25.531,0.156963
sun,9.7718e-05,-0.0021527,7.22681e-06
jupiter,4.89584,0.705428,-0.112566
saturn,7.60071,5.26375,-0.393814
uranus,13.584,-14.5304,-0.230105
neptune,16.0113,-25.5248,0.156614
sun,0.000104644,-0.00218551,7.20597e-06
jupiter,4.8914,0.734031,-0.112585
saturn,7.588,5.28047,-0.3936
uranus,13.5944,-14.5212,-0.230206
neptune,16.0209,-25.5186,0.156265
sun,0.000111734,-0.00221829,7.18106e-06
jupiter,4.88679,0.762611,-0.1126
saturn,7.57525,5.29716,-0.393383
uranus,13.6048,-14.512,-0.230307
neptune,16.0306,-25.5124,0.155916
sun,0.000118987,-0.00225103,7.15209e-06
jupiter,4.88203,0.791166,-0.112611
saturn,7.56247,5.31383,-0.393165
uranus,13.6152,-14.5028,-0.230407
neptune,16.0402,-25.5062,0.155566
sun,0.000126403,-0.00228375,7.11904e-06
jupiter,4.87711,0.819695,-0.112619
saturn,7.54964,5.33047,-0.392944
uranus,13.6255,-14.4936,-0.230508
neptune,16.0498,-25.5,0.155217
sun,0.000133982,-0.00231644,7.08192e-06
jupiter,4.87203,0.848197,-0.112624
saturn,7.53678,5.34708,-0.392722
uranus,13.6359,-14.4844,-0.230608
neptune,16.0595,-25.4938,0.154868
sun,0.000141725,-0.00234909,7.04073e-06
jupiter,4.86679,0.876671,-0.112624
saturn,7.52388,5.36367,-0.392498
uranus,13.6462,-14.4752,-0.230708
neptune,16.0691,-25.4876,0.154519
sun,0.000149629,-0.0023817,6.99547e-06
jupiter,4.86139,0.905117,-0.112621
saturn,7.51094,5.38022,-0.392271
uranus,13.6566,-14.466,-0.230808
neptune,16.0787,-25.4813,0.154169
sun,0.000157697,-0.00241429,6.94614e-06
jupiter,4.85584,0.933534,-0.112615
saturn,7.49797,5.39676,-0.392043
uranus,13.6669,-14.4567,-0.230908
neptune,16.0883,-25.4751,0.15382
sun,0.000165926,-0.00244683,6.89274e-06
jupiter,4.85012,0.961919,-0.112604
saturn,7.48496,5.41326,-0.391813
uranus,13.6773,-14.4475,-0.231008
neptune,16.098,-25.4689,0.153471
sun,0.000174318,-0.00247934,6.83527e-06
jupiter,4.84425,0.990274,-0.11259
saturn,7.47191,5.42974,-0.39158
uranus,13.6876,-14.4382,-0.231108
neptune,16.1076,-25.4627,0.153121
sun,0.000182872,-0.00251181,6.77372e-06
jupiter,4.83822,1.0186,-0.112572
saturn,7.45882,5.44619,-0.391346
uranus,13.6979,-14.429,-0.231208
neptune,16.1172,-25.4564,0.152772
sun,0.000191588,-0.00254424,6.70811e-06
jupiter,4.83203,1.04688,-0.112551
saturn,7.4457,5.46261,-0.39111
uranus,13.7082,-14.4197,-0.231307
neptune,16.1268,-25.4502,0.152422
sun,0.000200465,-0.00257663,6.63843e-06
jupiter,4.82568,1.07514,-0.112526
saturn,7.43254,5.47901,-0.390872
uranus,13.7185,-14.4105,-0.231406
neptune,16.1364,-25.444,0.152073
sun,0.000209504,-0.00260898,6.56467e-06
jupiter,4.81918,1.10336,-0.112497
saturn,7.41934,5.49537,-0.390632
uranus,13.7288,-14.4012,-0.231506
neptune,16.146,-25.4377,0.151724
sun,0.000218703,-0.00264128,6.48685e-06
jupiter,4.81252,1.13154,-0.112465
saturn,7.4061,5.51172,-0.39039
uranus,13.7391,-14.3919,-0.231605
neptune,16.1557,-25.4315,0.151374
sun,0.000228064,-0.00267355,6.40496e-06
jupiter,4.8057,1.15969,-0.112428
saturn,7.39283,5.52803,-0.390146
uranus,13.7494,-14.3826,-0.231704
neptune,16.1653,-25.4252,0.151025
sun,0.000237586,-0.00270577,6.31901e-06
jupiter,4.79872,1.1878,-0.112389
saturn,7.37952,5.54431,-0.3899
uranus,13.7597,-14.3733,-0.231803
neptune,16.1749,-25.419,0.150675
sun,0.000247268,-0.00273795,6.22899e-06
jupiter,4.79159,1.21587,-0.112345
saturn,7.36617,5.56057,-0.389652
uranus,13.77,-14.364,-0.231902
neptune,16.1845,-25.4127,0.150326
sun,0.00025711,-0.00277008,6.13491e-06
jupiter,4.7843,1.2439,-0.112298
saturn,7.35279,5.5768,-0.389402
uranus,13.7802,-14.3547,-0.232
neptune,16.1941,-25.4065,0.149976
sun,0.000267113,-0.00280216,6.03676e-06
jupiter,4.77686,1.27189,-0.112247
saturn,7.33937,5.593,-0.38915
uranus,13.7905,-14.3454,-0.232099
neptune,16.2037,-25.4002,0.149626
sun,0.000277275,-0.0028342,5.93456e-06
jupiter,4.76926,1.29983,-0.112193
saturn,7.32591,5.60917,-0.388897
uranus,13.8007,-14.3361,-0.232198
neptune,16.2133,-25.394,0.149277
sun,0.000287597,-0.00286619,5.82829e-06
jupiter,4.7615,1.32774,-0.112135
saturn,7.31241,5.62532,-0.388641
uranus,13.811,-14.3267,-0.232296
neptune,16.2228,-25.3877,0.148927
sun,0.000298078,-0.00289813,5.71797e-06
jupiter,4.75359,1.3556,-0.112073
saturn,7.29888,5.64143,-0.388383
uranus,13.8212,-14.3174,-0.232394
neptune,16.2324,-25.3814,0.148578
sun,0.000308719,-0.00293002,5.6036e-06
jupiter,4.74552,1.38342,-0.112008
saturn,7.28531,5.65752,-0.388124
uranus,13.8314,-14.308,-0.232492
neptune,16.242,-25.3751,0.148228
